iam_role_name,role_subscriber
role-26,user-5678
role-26,user-1092
role-26,user-3497
role-26,user-3916
role-26,user-5620
role-26,user-5887
role-26,user-4200
role-26,user-1341
role-26,user-3390
role-26,user-1896
role-26,user-2325
role-26,user-2170
role-26,user-5868
role-26,user-4669
role-26,user-2801
role-26,user-5645
role-26,user-5594
role-26,user-3710
role-26,user-225
role-26,user-3009
role-26,user-3778
role-26,user-439
role-26,user-2016
role-26,user-2802
role-26,user-3403
role-26,user-3070
role-26,user-312
role-26,user-1785
role-26,user-3136
role-26,user-205
role-26,user-957
role-26,user-1215
role-26,user-3592
role-26,user-1622
role-26,user-60
role-26,user-2420
role-26,user-4042
role-26,user-1737
role-26,user-2543
role-26,user-3362
role-26,user-2470
role-26,user-410
role-26,user-541
role-26,user-177
role-26,user-1367
role-26,user-3917
role-26,user-856
role-26,user-518
role-26,user-2682
role-26,user-71
role-26,user-2049
role-26,user-5786
role-26,user-1353
role-27,#N/A
role-27,user-6360
role-27,user-6370
role-28,#N/A
role-28,user-6360
role-28,user-6370
role-28,user-6335
role-29,#N/A
role-29,user-3983
role-29,user-937
role-29,user-1239
role-29,user-2070
role-29,user-1725
role-29,user-3037
role-29,user-3935
role-29,user-312
role-29,user-2682
role-30,user-2361
role-30,user-6370
role-30,user-6176
role-30,#N/A
role-30,user-5934
role-30,user-3641
role-30,user-877
role-30,user-1243
role-30,user-3975
role-30,user-3301
role-30,user-2610
role-30,user-1210
role-30,user-3878
role-30,user-2898
role-30,user-2862
role-30,user-4628
role-30,user-2963
role-30,user-3327
role-30,user-1580
role-30,user-136
role-30,user-4729
role-30,user-519
role-30,user-3601
role-30,user-2560
role-30,user-2878
role-30,user-1914
role-30,user-2664
role-30,user-1456
role-31,#N/A
role-31,user-3150
role-31,user-33
role-31,user-1270
role-31,user-1380
role-31,user-2903
role-32,user-1878
role-32,#N/A
role-32,user-6173
role-32,user-6176
role-32,user-6316
role-32,user-6157
role-32,user-6207
role-32,user-6077
role-32,user-6178
role-32,user-6275
role-32,user-6020
role-32,user-6000
role-32,user-5758
role-32,user-5780
role-32,user-6205
role-32,user-5711
role-32,user-6268
role-32,user-5651
role-32,user-5650
role-32,user-5727
role-32,user-5978
role-32,user-4496
role-32,user-1611
role-32,user-4228
role-32,user-2626
role-32,user-3572
role-32,user-21
role-32,user-1643
role-32,user-5357
role-32,user-4882
role-32,user-1089
role-32,user-935
role-32,user-877
role-32,user-1243
role-32,user-597
role-32,user-1600
role-32,user-3975
role-32,user-3914
role-32,user-1473
role-32,user-3301
role-32,user-762
role-32,user-438
role-32,user-929
role-32,user-259
role-32,user-4303
role-32,user-593
role-32,user-53
role-32,user-3308
role-32,user-822
role-32,user-390
role-32,user-2610
role-32,user-160
role-32,user-367
role-32,user-3850
role-32,user-2893
role-32,user-1647
role-32,user-1288
role-32,user-5432
role-32,user-939
role-32,user-1596
role-32,user-3287
role-32,user-5355
role-32,user-77
role-32,user-998
role-32,user-6956
role-32,user-5400
role-32,user-1266
role-32,user-265
role-32,user-872
role-32,user-527
role-32,user-121
role-32,user-459
role-32,user-357
role-32,user-1287
role-32,user-281
role-32,user-24
role-32,user-272
role-32,user-133
role-32,user-33
role-32,user-81
role-32,user-1121
role-32,user-270
role-32,user-3735
role-33,#N/A
role-33,user-6311
role-33,user-6274
role-33,user-6188
role-33,user-6267
role-33,user-6207
role-33,user-5758
role-33,user-5711
role-33,user-5651
role-33,user-5650
role-33,user-5760
role-33,user-4478
role-33,user-4599
role-33,user-4496
role-33,user-4608
role-33,user-2626
role-33,user-3572
role-33,user-1508
role-33,user-3340
role-33,user-2574
role-33,user-3142
role-33,user-935
role-33,user-4950
role-33,user-877
role-33,user-1243
role-33,user-597
role-33,user-3975
role-33,user-3399
role-33,user-4923
role-33,user-1473
role-33,user-762
role-33,user-2526
role-33,user-259
role-33,user-816
role-33,user-2765
role-33,user-766
role-33,user-4303
role-33,user-593
role-33,user-95
role-33,user-1612
role-33,user-3308
role-33,user-3436
role-33,user-3734
role-33,user-2237
role-33,user-2610
role-33,user-160
role-33,user-3872
role-33,user-3220
role-33,user-2893
role-33,user-1647
role-33,user-1288
role-33,user-1596
role-33,user-397
role-33,user-985
role-33,user-1970
role-33,user-1049
role-33,user-1266
role-33,user-496
role-33,user-357
role-33,user-1124
role-33,user-3008
role-33,user-4713
role-33,user-1325
role-33,user-79
role-33,user-33
role-33,user-270
role-33,user-4370
role-33,user-70
role-33,user-3735
role-33,user-474
role-33,user-5390
role-34,user-2506
role-34,user-1896
role-34,user-2325
role-34,user-2170
role-34,#N/A
role-34,user-2114
role-34,user-88
role-35,user-2572
role-35,user-5750
role-35,user-3859
role-35,user-3644
role-35,user-606
role-35,user-5323
role-35,user-257
role-35,user-3778
role-35,user-957
role-35,user-1663
role-35,user-410
role-35,user-271
role-36,user-4468
role-36,user-1556
role-36,user-3778
role-36,user-1231
role-36,user-2531
role-36,user-271
role-37,user-2506
role-37,user-1896
role-37,user-2325
role-37,user-2170
role-37,#N/A
role-37,user-3403
role-38,user-2506
role-38,#N/A
role-38,user-6208
role-38,user-5899
role-38,user-6320
role-38,user-6024
role-38,user-5882
role-38,user-6172
role-38,user-5393
role-38,user-2410
role-38,user-3114
role-38,user-6169
role-38,user-1388
role-38,user-3908
role-38,user-3448
role-38,user-3497
role-38,user-3916
role-38,user-5620
role-38,user-5887
role-38,user-4200
role-38,user-1341
role-38,user-3390
role-38,user-1896
role-38,user-2325
role-38,user-2170
role-38,user-4908
role-38,user-5868
role-38,user-1159
role-38,user-4669
role-38,user-2801
role-38,user-2573
role-38,user-3650
role-38,user-989
role-38,user-3662
role-38,user-3009
role-38,user-5774
role-38,user-2016
role-38,user-2802
role-38,user-3403
role-38,user-312
role-38,user-3031
role-38,user-3592
role-38,user-60
role-38,user-1737
role-39,#N/A
role-39,user-1794
role-39,user-5931
role-40,#N/A
role-40,user-4735
role-41,#N/A
role-42,#N/A
role-43,user-4735
role-44,#N/A
role-44,user-4735
role-45,user-1021
role-45,#N/A
role-46,#N/A
role-47,#N/A
role-48,#N/A
role-49,#N/A
role-50,user-56
role-50,#N/A
role-50,user-2331
role-50,user-530
role-50,user-1591
role-50,user-544
role-50,user-73
role-50,user-1567
role-50,user-1477
role-50,user-5084
role-50,user-2530
role-50,user-1208
role-50,user-174
role-50,user-3742
role-50,user-875
role-50,user-1345
role-50,user-671
role-50,user-2133
role-50,user-1573
role-50,user-2631
role-50,user-3740
role-50,user-1945
role-50,user-2258
role-50,user-2317
role-50,user-4288
role-50,user-3842
role-50,user-702
role-50,user-6062
role-50,user-1595
role-50,user-1151
role-50,user-3608
role-50,user-198
role-50,user-5105
role-50,user-2477
role-50,user-5759
role-50,user-5475
role-50,user-6255
role-50,user-2966
role-50,user-3611
role-50,user-4121
role-50,user-3930
role-50,user-3281
role-50,user-658
role-50,user-2808
role-50,user-5003
role-50,user-2741
role-50,user-838
role-50,user-1364
role-50,user-4310
role-50,user-4560
role-50,user-2865
role-50,user-4586
role-50,user-1835
role-50,user-5554
role-50,user-440
role-50,user-2089
role-50,user-2054
role-50,user-4511
role-51,user-4987
role-51,#N/A
role-52,user-4528
role-52,#N/A
role-52,user-1852
role-52,user-2764
role-52,user-6143
role-52,user-1651
role-52,user-907
role-52,user-2596
role-52,user-3012
role-52,user-3402
role-52,user-3329
role-52,user-2725
role-52,user-2618
role-52,user-5170
role-52,user-4342
role-52,user-657
role-53,user-4528
role-53,user-6143
role-53,user-3012
role-53,user-2725
role-53,user-1587
role-53,user-4342
role-53,user-657
role-54,user-4528
role-55,user-1579
role-55,user-2573
role-55,#N/A
role-55,user-1477
role-55,user-989
role-55,user-3662
role-55,user-2133
role-55,user-1573
role-55,user-3608
role-55,user-5931
role-55,user-2569
role-55,user-3808
role-55,user-838
role-55,user-2572
role-55,user-1835
role-56,user-56
role-56,#N/A
role-56,user-1477
role-56,user-875
role-56,user-2133
role-56,user-1167
role-56,user-1573
